1.405000000000000000e+02 2.481890814659350575e+00 2.190693674238536337e-01
1.415000000000000000e+02 2.484809284480552272e+00 1.392655473294782953e-01
1.425000000000000000e+02 2.518586342933557098e+00 1.213109100072578134e-01
1.435000000000000000e+02 2.565162141298374721e+00 5.947007179833738860e-02
1.445000000000000000e+02 2.568566124052405364e+00 7.040175754874924974e-02
1.455000000000000000e+02 2.518156702517021728e+00 7.427689972078485581e-02
1.465000000000000000e+02 2.515052018318863603e+00 5.338927242282040520e-02
1.475000000000000000e+02 2.535155519356815823e+00 1.055380871651491886e-01
1.485000000000000000e+02 2.527969349464779469e+00 1.301198376572446080e-01
1.495000000000000000e+02 2.479778647606774911e+00 1.135390325863803174e-01
1.505000000000000000e+02 2.437752197336457982e+00 1.241704133750052563e-01
1.515000000000000000e+02 2.390231830585361372e+00 2.113943903779645361e-01
1.525000000000000000e+02 2.368488270905800164e+00 1.917981162009527729e-01
1.535000000000000000e+02 2.387772305484668678e+00 8.051636232489001177e-02
1.545000000000000000e+02 2.394127695656462329e+00 7.649464567970580553e-02
1.555000000000000000e+02 2.357786366295817615e+00 7.233439355933322934e-02
1.565000000000000000e+02 2.344584838726240683e+00 3.982758490847313620e-02
1.575000000000000000e+02 2.308529517079415783e+00 9.079393507230927585e-02
1.585000000000000000e+02 2.283307412157516758e+00 7.681604956362775294e-02
1.595000000000000000e+02 2.278387275308339177e+00 1.287146367054487761e-01
1.605000000000000000e+02 2.252989481539792394e+00 1.458922132297137131e-01
1.615000000000000000e+02 2.253339655661681817e+00 5.887339638679069814e-02
1.625000000000000000e+02 2.193954080126664152e+00 5.180317964823261817e-02
1.635000000000000000e+02 2.105129721122203534e+00 6.640772073820461197e-02
1.645000000000000000e+02 2.081509356749944750e+00 7.781362186406720616e-02
1.655000000000000000e+02 2.089648279761124883e+00 7.446405941661102257e-02
1.665000000000000000e+02 2.037704199912799830e+00 7.249688271457281619e-02
1.675000000000000000e+02 1.969431012741265974e+00 7.765670725081766368e-02
1.685000000000000000e+02 1.939375071736753497e+00 1.226950830477959997e-01
1.695000000000000000e+02 1.927165714367945704e+00 1.434909463024010567e-01
1.705000000000000000e+02 1.886511901481211062e+00 1.006867114051472056e-01
1.715000000000000000e+02 1.826915108134376631e+00 9.960718585499588051e-02
1.725000000000000000e+02 1.779240025476951814e+00 5.202577384703145624e-02
1.735000000000000000e+02 1.750839691553240485e+00 3.514092992880243210e-02
1.745000000000000000e+02 1.688804973928010433e+00 3.418771057235712313e-02
1.755000000000000000e+02 1.639711385658570109e+00 7.748806722002178626e-02
1.765000000000000000e+02 1.616124129958913969e+00 9.071323332090772129e-02
1.775000000000000000e+02 1.589185730592766355e+00 1.196645943024928216e-01
1.785000000000000000e+02 1.539145565830933648e+00 9.148363576289680887e-02
1.795000000000000000e+02 1.480593198429588142e+00 5.219640410982780837e-02
1.805000000000000000e+02 1.449610117794728481e+00 1.020901329242855093e-01
1.815000000000000000e+02 1.415379321931583334e+00 1.574104945604516137e-01
1.825000000000000000e+02 1.373437614499508186e+00 5.253709301156898881e-02
1.835000000000000000e+02 1.332556426323520782e+00 6.796350530756607722e-02
1.845000000000000000e+02 1.288677764375256274e+00 1.169947061779384734e-01
1.855000000000000000e+02 1.263893443193586208e+00 4.536461272598605460e-02
1.865000000000000000e+02 1.225771286357778322e+00 7.770357230144278593e-02
1.875000000000000000e+02 1.161503285082362780e+00 1.457485705606180459e-01
1.885000000000000000e+02 1.101359945596581014e+00 1.312799569897782626e-01
